id,title,current_poster_url
1,肖申克的救赎,/static/posters/placeholder.svg
2,霸王别姬,/static/posters/placeholder.svg
3,阿甘正传,/static/posters/placeholder.svg
4,泰坦尼克号,/static/posters/placeholder.svg
5,千与千寻,/static/posters/placeholder.svg
6,这个杀手不太冷,/static/posters/placeholder.svg
7,辛德勒的名单,/static/posters/placeholder.svg
8,盗梦空间,/static/posters/placeholder.svg
9,星际穿越,/static/posters/placeholder.svg
10,寄生上流,/static/posters/placeholder.svg
11,放牛班的春天,/static/posters/placeholder.svg
12,海上钢琴师,/static/posters/placeholder.svg
13,怦然心动,/static/posters/placeholder.svg
14,疯狂动物城,/static/posters/placeholder.svg
15,当幸福来敲门,/static/posters/placeholder.svg
16,龙猫,/static/posters/placeholder.svg
17,忠犬八公的故事,/static/posters/placeholder.svg
18,大话西游,/static/posters/placeholder.svg
19,美丽心灵,/static/posters/placeholder.svg
20,罗马假日,/static/posters/placeholder.svg
21,天堂电影院,/static/posters/placeholder.svg
22,小妇人,/static/posters/placeholder.svg
23,寻梦环游记,/static/posters/placeholder.svg
24,教父,/static/posters/placeholder.svg
25,蝙蝠侠：黑暗骑士,/static/posters/placeholder.svg
26,指环王：王者归来,/static/posters/placeholder.svg
27,阿凡达,/static/posters/placeholder.svg
28,黑客帝国,/static/posters/placeholder.svg
29,搏击俱乐部,/static/posters/placeholder.svg
30,钢铁侠,/static/posters/placeholder.svg
31,复仇者联盟,/static/posters/placeholder.svg
32,速度与激情,/static/posters/placeholder.svg
33,007：大破天幕杀机,/static/posters/placeholder.svg
34,碟中谍,/static/posters/placeholder.svg
35,飓风营救,/static/posters/placeholder.svg
36,变形金刚,/static/posters/placeholder.svg
37,雷神,/static/posters/placeholder.svg
38,美国队长,/static/posters/placeholder.svg
39,绿巨人浩克,/static/posters/placeholder.svg
40,神奇四侠,/static/posters/placeholder.svg
41,X战警,/static/posters/placeholder.svg
42,蜘蛛侠,/static/posters/placeholder.svg
43,超人,/static/posters/placeholder.svg
44,蝙蝠侠,/static/posters/placeholder.svg
45,神奇女侠,/static/posters/placeholder.svg
46,正义联盟,/static/posters/placeholder.svg
47,蚁人,/static/posters/placeholder.svg
48,死侍,/static/posters/placeholder.svg
49,守望者,/static/posters/placeholder.svg
50,浪客剑心,/static/posters/placeholder.svg
51,幽游白书,/static/posters/placeholder.svg
52,海贼王,/static/posters/placeholder.svg
53,火影忍者,/static/posters/placeholder.svg
54,死神,/static/posters/placeholder.svg
55,犬夜叉,/static/posters/placeholder.svg
